TARGET,FixedAcidity,VolatileAcidity,CitricAcid,ResidualSugar,Chlorides,FreeSulfurDioxide,TotalSulfurDioxide,Density,pH,Sulphates,Alcohol,LabelAppeal,AcidIndex,STARS
5,7.1,2.64,-0.88,14.8,0.037,214.0,142.0,0.99518,3.12,0.48,22.0,-1,8,3.0
3,5.7,0.385,0.04,18.8,-0.425,22.0,115.0,0.9964,2.24,1.83,6.2,-1,6,1.0
6,5.5,-0.22,0.39,1.8,-0.277,62.0,180.0,0.94724,3.09,0.75,12.6,0,8,4.0
0,-17.2,0.52,0.15,-33.8,-0.022,551.0,65.0,0.9934,4.31,0.56,13.1,1,5,1.0
3,6.0,0.33,-1.06,3.0,0.518,5.0,378.0,0.96643,3.55,-0.86,3.9,1,7,2.0
4,-1.3,0.22,2.95,-53.0,0.541,-85.0,-266.0,0.99672,3.61,0.82,10.0,0,8,3.0
5,10.0,0.23,0.27,14.1,0.033,-188.0,229.0,0.9988,3.14,0.88,11.0,1,11,2.0
4,6.8,0.475,-0.2,-50.75,0.047,-88.0,508.0,0.99403,3.23,0.35,18.3,-1,8,2.0
3,5.8,0.76,0.33,-26.0,-0.195,87.0,-283.0,0.9885,3.07,0.56,11.4,-1,6,1.0
2,6.5,0.24,0.24,-18.2,-0.182,15.0,60.0,1.00916,3.19,-1.01,9.8,-1,7,1.0
3,7.1,0.97,0.25,11.2,0.135,32.0,180.0,1.00278,3.14,0.42,9.5,0,8,1.0
4,11.3,0.17,0.34,15.6,0.044,330.0,139.0,0.99752,3.06,3.83,9.1,0,7,2.0
4,6.4,2.21,0.56,40.4,0.055,27.0,-166.0,1.04577,1.77,-3.12,9.1,1,7,2.0
3,7.4,0.36,0.06,33.8,-0.365,-135.0,39.0,0.99615,4.05,0.48,16.0,-1,8,1.0
4,5.7,0.25,0.27,10.8,0.05,58.0,-243.0,0.95643,3.1,-0.21,9.8,0,6,3.0
3,7.9,0.38,1.45,-8.0,-0.24,21.0,138.0,0.99796,3.52,-0.01,15.9,0,9,1.0
5,13.0,0.34,0.46,4.7,0.029,-244.0,94.0,1.00111,1.42,1.74,17.3,1,7,2.0
5,9.3,0.14,-1.03,7.9,-0.379,21.0,82.0,1.0241,3.26,-0.38,13.7,1,7,2.0
1,19.3,1.75,0.36,52.3,0.075,63.0,48.0,1.02917,3.34,1.85,13.5,-2,9,1.0
3,5.8,0.36,0.5,-38.8,-0.291,63.0,178.0,1.00091,3.87,0.45,8.8,0,7,1.0
0,6.6,0.24,2.32,1.4,-0.356,242.0,234.0,1.03659,3.11,0.39,9.9,-1,7,1.0
